Commodity,CommodityId,Category,CategoryId,Item,Item2,ItemId,Units,UnitsAbr,UnitsId,Region,RegionId,Country,CountryId,Year,Value,SurveyBaseYear,Note,Order,Size,SizeId
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2003,164.74,Base survey of 2003,,30,No specific size,90
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2004,161,Base survey of 2003,,30,No specific size,90
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2005,134.87,Base survey of 2003,,30,No specific size,90
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2006,134.64,Base survey of 2003,,30,No specific size,90
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2007,178.19,Base survey of 2003,,30,No specific size,90
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2008,289.19,Base survey of 2003,,30,No specific size,90
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2009,294.53,Base survey of 2003,,30,No specific size,90
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2010,238.9,Base survey of 2003,,30,No specific size,90
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2011,351.88,Base survey of 2011,,30,No specific size,90
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2012,413.09,Base survey of 2011,,30,No specific size,90
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2013,407.32,Base survey of 2011,,30,No specific size,90
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2014,355.23,Base survey of 2011,,30,No specific size,90
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2015,348.87,Base survey of 2011,,30,No specific size,90
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2016,336.78,Base survey of 2011,,30,No specific size,90
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2017,279.46,Base survey of 2011,,30,No specific size,90
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2018,303.74,Base survey of 2011,,30,No specific size,90
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2019,324.1,Base survey of 2011,,30,No specific size,90
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2020,319.42,Base survey of 2011,,30,No specific size,90
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2003,153.44,Base survey of 2003,,30,No specific size,90
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2004,109.74,Base survey of 2003,,30,No specific size,90
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2005,74.84,Base survey of 2003,,30,No specific size,90
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2006,95.55,Base survey of 2003,,30,No specific size,90
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2007,133.62,Base survey of 2003,,30,No specific size,90
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2008,230.46,Base survey of 2003,,30,No specific size,90
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2009,206.58,Base survey of 2003,,30,No specific size,90
Barley,20,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2010,141.35,Base survey of 2003,,30,No specific size,90
