Commodity,CommodityId,Category,CategoryId,Item,Item2,ItemId,Units,UnitsAbr,UnitsId,Region,RegionId,Country,CountryId,Year,Value,SurveyBaseYear,Note,Order,Size,SizeId
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,1997,477.48,Base survey of 1997,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,1998,307.2,Base survey of 1997,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,1999,274.48,Base survey of 1997,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2000,324.33,Base survey of 1997,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2001,222.6,Base survey of 1997,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2002,257.88,Base survey of 1997,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2003,489.72,Base survey of 2003,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2004,414.12,Base survey of 2003,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2005,392.16,Base survey of 2003,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2006,322.42,Base survey of 2003,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2007,519.27,Base survey of 2007,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2008,379.2,Base survey of 2007,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2009,364.62,Base survey of 2007,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2010,639.88,Base survey of 2007,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2011,475.74,Base survey of 2007,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2012,473.57,Base survey of 2007,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2013,476.42,Base survey of 2007,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2014,465.8,Base survey of 2007,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2015,483.12,Base survey of 2015,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2016,538.68,Base survey of 2015,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2017,547.86,Base survey of 2015,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2018,473.48,Base survey of 2015,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2019,535.74,Base survey of 2019,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2020,486.63,Base survey of 2019,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,1997,532,Base survey of 1997,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,1998,331.98,Base survey of 1997,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,1999,299,Base survey of 1997,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2000,401.52,Base survey of 1997,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2001,330.75,Base survey of 1997,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2002,324.87,Base survey of 1997,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2003,560.95,Base survey of 2003,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2004,497.28,Base survey of 2003,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2005,452.27,Base survey of 2003,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2006,463.54,Base survey of 2003,,40,No specific size,90
Cotton,30,Gross value of production,1,"Primary product, cotton lint","Primary product, cotton lint",32,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2007,556.74,Base survey of 2007,,40,No specific size,90
