Commodity,CommodityId,Category,CategoryId,Item,Item2,ItemId,Units,UnitsAbr,UnitsId,Region,RegionId,Country,CountryId,Year,Value,SurveyBaseYear,Note,Order,Size,SizeId
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2005,94.17,Base survey of 2005,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2006,106.03,Base survey of 2005,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2007,144.55,Base survey of 2005,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2008,225.09,Base survey of 2005,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2009,155.35,Base survey of 2005,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2010,130.78,Base survey of 2005,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2011,190.1,Base survey of 2005,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2012,228.93,Base survey of 2005,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2013,268.36,Base survey of 2005,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2014,263.86,Base survey of 2005,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2015,165.31,Base survey of 2015,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2016,135.49,Base survey of 2015,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2017,160.21,Base survey of 2015,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2018,183.38,Base survey of 2015,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2019,206.79,Base survey of 2015,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2020,192.1,Base survey of 2015,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2005,123.88,Base survey of 2005,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2006,83,Base survey of 2005,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2007,131.81,Base survey of 2005,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2008,192.92,Base survey of 2005,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2009,128.21,Base survey of 2005,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2010,103.8,Base survey of 2005,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2011,157.32,Base survey of 2005,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2012,187.23,Base survey of 2005,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2013,217.58,Base survey of 2005,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2014,225.41,Base survey of 2005,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2015,190.29,Base survey of 2015,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2016,161.6,Base survey of 2015,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2017,184.19,Base survey of 2015,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2018,180.03,Base survey of 2015,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2019,220.95,Base survey of 2015,,30,No specific size,90
Oats,40,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Heartland,20,United States,10,2020,220.22,Base survey of 2015,,30,No specific size,90
