Commodity,CommodityId,Category,CategoryId,Item,Item2,ItemId,Units,UnitsAbr,UnitsId,Region,RegionId,Country,CountryId,Year,Value,SurveyBaseYear,Note,Order,Size,SizeId
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,1995,620.6,Base survey of 1995,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,1996,635.18,Base survey of 1995,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,1997,604.24,Base survey of 1995,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,1998,641.94,Base survey of 1995,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,1999,613.34,Base survey of 1995,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2000,539.19,Base survey of 1995,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2001,593.4,Base survey of 1995,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2002,437.76,Base survey of 1995,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2003,562.68,Base survey of 1995,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2004,645.2,Base survey of 2004,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2005,534.99,Base survey of 2004,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2006,509.83,Base survey of 2004,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2007,646.6,Base survey of 2004,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2008,720.4,Base survey of 2004,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2009,793.32,Base survey of 2004,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2010,737.52,Base survey of 2004,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2011,896.56,Base survey of 2004,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2012,1420.18,Base survey of 2004,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2013,1082.64,Base survey of 2013,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2014,849.66,Base survey of 2013,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2015,746.7,Base survey of 2013,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2016,699.8,Base survey of 2013,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2017,918.39,Base survey of 2013,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2018,898.7,Base survey of 2013,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2019,847.35,Base survey of 2013,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2020,850.96,Base survey of 2013,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
Peanut,50,Gross value of production,1,"Primary product, peanuts ¹ ","Primary product, peanuts ¹ ",34,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,1995,460.6,Base survey of 1995,"¹For 2014–2019, we revised the gross value of production calculation and some input costs for peanuts.",50,No specific size,90
