Commodity,CommodityId,Category,CategoryId,Item,Item2,ItemId,Units,UnitsAbr,UnitsId,Region,RegionId,Country,CountryId,Year,Value,SurveyBaseYear,Note,Order,Size,SizeId
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,1995,143,Base survey of 1995,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,1996,170.1,Base survey of 1995,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,1997,153.43,Base survey of 1995,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,1998,107.59,Base survey of 1995,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,1999,96.66,Base survey of 1995,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2000,88.62,Base survey of 1995,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2001,93.86,Base survey of 1995,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2002,95.37,Base survey of 1995,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2003,105.75,Base survey of 2003,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2004,110.88,Base survey of 2003,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,U.S. total,10,United States,10,2005,107.73,Base survey of 2003,,30,No specific size,90
