"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,030",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,020",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","890",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","990",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,170",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,210",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,260",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,170",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,170",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,340",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","965",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,410",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,270",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,270",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,280",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,560",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,560",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,620",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,190",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","980",""
